manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32F103C8T6,STM32F1,STM32F103,STM32F103C8,LQFP,48,64 KiB,-40 to 85 C,,STM32F103C8,STM32F103C8,cmsis_device_name,deterministic_pattern,tcl/target/stm32f1x.cfg,official_st_product_page+official_st_datasheet,https://www.st.com/en/microcontrollers-microprocessors/stm32f103c8.html;https://www.st.com/resource/en/datasheet/stm32f103c8.pdf,STMicroelectronics official,verified_direct_st_exact_icpn
STMicroelectronics,STM32F103C8T6TR,STM32F1,STM32F103,STM32F103C8,LQFP,48,64 KiB,-40 to 85 C,TR,STM32F103C8,STM32F103C8,cmsis_device_name,deterministic_pattern,tcl/target/stm32f1x.cfg,official_st_product_page+official_st_datasheet,https://www.st.com/en/microcontrollers-microprocessors/stm32f103c8.html;https://www.st.com/resource/en/datasheet/stm32f103c8.pdf,STMicroelectronics official,verified_direct_st_exact_icpn
STMicroelectronics,STM32F103C8T7,STM32F1,STM32F103,STM32F103C8,LQFP,48,64 KiB,-40 to 105 C,,STM32F103C8,STM32F103C8,cmsis_device_name,deterministic_pattern,tcl/target/stm32f1x.cfg,official_st_product_page+official_st_datasheet,https://www.st.com/en/microcontrollers-microprocessors/stm32f103c8.html;https://www.st.com/resource/en/datasheet/stm32f103c8.pdf,STMicroelectronics official,verified_direct_st_exact_icpn
STMicroelectronics,STM32F103C8T7TR,STM32F1,STM32F103,STM32F103C8,LQFP,48,64 KiB,-40 to 105 C,TR,STM32F103C8,STM32F103C8,cmsis_device_name,deterministic_pattern,tcl/target/stm32f1x.cfg,official_st_product_page+official_st_datasheet,https://www.st.com/en/microcontrollers-microprocessors/stm32f103c8.html;https://www.st.com/resource/en/datasheet/stm32f103c8.pdf,STMicroelectronics official,verified_direct_st_exact_icpn
STMicroelectronics,STM32F103CBT6,STM32F1,STM32F103,STM32F103CB,LQFP,48,128 KiB,-40 to 85 C,,STM32F103CB,STM32F103CB,cmsis_device_name,deterministic_pattern,tcl/target/stm32f1x.cfg,official_st_estore+official_st_datasheet,https://estore.st.com/en/products/microcontrollers-microprocessors/stm32-32-bit-arm-174-cortex-174-mcus/stm32-mainstream-mcus/stm32f1-series/stm32f103/stm32f103cb.html;https://www.st.com/resource/en/datasheet/stm32f103cb.pdf,STMicroelectronics official,verified_direct_st_exact_icpn
STMicroelectronics,STM32F103CBT6TR,STM32F1,STM32F103,STM32F103CB,LQFP,48,128 KiB,-40 to 85 C,TR,STM32F103CB,STM32F103CB,cmsis_device_name,deterministic_pattern,tcl/target/stm32f1x.cfg,official_st_estore+official_st_datasheet,https://estore.st.com/en/products/microcontrollers-microprocessors/stm32-32-bit-arm-174-cortex-174-mcus/stm32-mainstream-mcus/stm32f1-series/stm32f103/stm32f103cb.html;https://www.st.com/resource/en/datasheet/stm32f103cb.pdf,STMicroelectronics official,verified_direct_st_exact_icpn
STMicroelectronics,STM32F103CBT7,STM32F1,STM32F103,STM32F103CB,LQFP,48,128 KiB,-40 to 105 C,,STM32F103CB,STM32F103CB,cmsis_device_name,deterministic_pattern,tcl/target/stm32f1x.cfg,official_st_estore+official_st_datasheet,https://estore.st.com/en/products/microcontrollers-microprocessors/stm32-32-bit-arm-174-cortex-174-mcus/stm32-mainstream-mcus/stm32f1-series/stm32f103/stm32f103cb.html;https://www.st.com/resource/en/datasheet/stm32f103cb.pdf,STMicroelectronics official,verified_direct_st_exact_icpn
STMicroelectronics,STM32F103CBT7TR,STM32F1,STM32F103,STM32F103CB,LQFP,48,128 KiB,-40 to 105 C,TR,STM32F103CB,STM32F103CB,cmsis_device_name,deterministic_pattern,tcl/target/stm32f1x.cfg,official_st_estore+official_st_datasheet,https://estore.st.com/en/products/microcontrollers-microprocessors/stm32-32-bit-arm-174-cortex-174-mcus/stm32-mainstream-mcus/stm32f1-series/stm32f103/stm32f103cb.html;https://www.st.com/resource/en/datasheet/stm32f103cb.pdf,STMicroelectronics official,verified_direct_st_exact_icpn
STMicroelectronics,STM32F103CBU6,STM32F1,STM32F103,STM32F103CB,UFQFPN,48,128 KiB,-40 to 85 C,,STM32F103CB,STM32F103CB,cmsis_device_name,deterministic_pattern,tcl/target/stm32f1x.cfg,official_st_estore+official_st_datasheet,https://estore.st.com/en/products/microcontrollers-microprocessors/stm32-32-bit-arm-174-cortex-174-mcus/stm32-mainstream-mcus/stm32f1-series/stm32f103/stm32f103cb.html;https://www.st.com/resource/en/datasheet/stm32f103cb.pdf,STMicroelectronics official,verified_direct_st_exact_icpn
STMicroelectronics,STM32F103CBU6TR,STM32F1,STM32F103,STM32F103CB,UFQFPN,48,128 KiB,-40 to 85 C,TR,STM32F103CB,STM32F103CB,cmsis_device_name,deterministic_pattern,tcl/target/stm32f1x.cfg,official_st_estore+official_st_datasheet,https://estore.st.com/en/products/microcontrollers-microprocessors/stm32-32-bit-arm-174-cortex-174-mcus/stm32-mainstream-mcus/stm32f1-series/stm32f103/stm32f103cb.html;https://www.st.com/resource/en/datasheet/stm32f103cb.pdf,STMicroelectronics official,verified_direct_st_exact_icpn
